workerID,gender,age,income,language,order,animalID,animal,QUD,condition,isMetaphor,rating
13,F,35,10,english,1,1,ant,industrious,figurative,F,null
13,F,35,10,english,2,9,cheetah,fast,figurative,T,0.92
13,F,35,10,english,3,2,whale,majestic,figurative,T,0.63
13,F,35,10,english,4,10,turtle,null,figurative,F,null
13,F,35,10,english,5,4,elephant,hard,figurative,F,null
13,F,35,10,english,6,3,bird,small,literal,F,null
13,F,35,10,english,7,8,giraffe,tall,figurative,T,0.9
13,F,35,10,english,8,12,rabbit,null,literal,F,null
13,F,35,10,english,9,6,monkey,smart,figurative,F,null
13,F,35,10,english,10,7,penguin,null,figurative,F,null
13,F,35,10,english,11,11,lion,null,literal,F,null
13,F,35,10,english,12,5,panda,cute,figurative,T,0.23
14,M,55,6,English,1,11,lion,null,figurative,T,0.53
14,M,55,6,English,2,4,elephant,null,literal,F,null
14,M,55,6,English,3,8,giraffe,null,figurative,T,0.21
14,M,55,6,English,4,9,cheetah,fast,literal,F,null
14,M,55,6,English,5,5,panda,cute,figurative,T,0.71
14,M,55,6,English,6,1,ant,industrious,literal,F,null
14,M,55,6,English,7,12,rabbit,null,figurative,T,0.68
14,M,55,6,English,8,2,whale,majestic,figurative,T,0.42
14,M,55,6,English,9,6,monkey,smart,figurative,T,0.4
14,M,55,6,English,10,7,penguin,cute,figurative,T,0.61
14,M,55,6,English,11,3,bird,fast,figurative,T,0.2
14,M,55,6,English,12,10,turtle,slow,figurative,T,0.99
15,M,45,4,English,1,11,lion,fierce,figurative,T,0.99
15,M,45,4,English,2,12,rabbit,cute,figurative,F,null
15,M,45,4,English,3,7,penguin,funny,figurative,F,null
15,M,45,4,English,4,5,panda,big,literal,F,null
15,M,45,4,English,5,2,whale,majestic,figurative,F,null
15,M,45,4,English,6,3,bird,small,figurative,F,null
15,M,45,4,English,7,9,cheetah,null,literal,F,null
15,M,45,4,English,8,6,monkey,smart,figurative,T,0.9
15,M,45,4,English,9,4,elephant,big,figurative,T,1
15,M,45,4,English,10,10,turtle,null,figurative,F,null
15,M,45,4,English,11,1,ant,industrious,literal,F,null
15,M,45,4,English,12,8,giraffe,tall,figurative,T,0.74
16,M,25,4,English,1,9,cheetah,fast,figurative,T,0.11
16,M,25,4,English,2,12,rabbit,fast,literal,F,null
16,M,25,4,English,3,8,giraffe,null,figurative,T,0.12
16,M,25,4,English,4,10,turtle,null,figurative,T,0.16
16,M,25,4,English,5,11,lion,null,figurative,T,0.45
16,M,25,4,English,6,7,penguin,null,figurative,T,0.35
16,M,25,4,English,7,1,ant,industrious,figurative,T,0.51
16,M,25,4,English,8,5,panda,cute,literal,F,null
16,M,25,4,English,9,2,whale,majestic,figurative,T,0.6
16,M,25,4,English,10,6,monkey,funny,figurative,T,0.15
16,M,25,4,English,11,3,bird,small,figurative,T,0.08
16,M,25,4,English,12,4,elephant,big,literal,F,null
17,F,35,4,English,1,6,monkey,funny,literal,F,null
17,F,35,4,English,2,1,ant,null,figurative,T,0.49
17,F,35,4,English,3,8,giraffe,tall,literal,F,null
17,F,35,4,English,4,7,penguin,null,figurative,T,0.62
17,F,35,4,English,5,10,turtle,slow,figurative,T,0.91
17,F,35,4,English,6,5,panda,null,figurative,T,0.32
