animalID,animal,featureID,feature,alternatives,numAlts
29,tiger,14,strong,tiger;lion;zebra;man,4
29,tiger,15,fierce,tiger;lion;zebra;man,4
29,tiger,29,striped,tiger;lion;zebra;man,4
30,bee,1,small,ant;beaver;jaguar;cheetah;bee;man,6
30,bee,2,industrious,ant;beaver;jaguar;cheetah;bee;man,6
30,bee,5,fast,ant;beaver;jaguar;cheetah;bee;man,6
30,bee,12,agile,ant;beaver;jaguar;cheetah;bee;man,6
30,bee,17,busy,ant;beaver;jaguar;cheetah;bee;man,6
30,bee,19,sleek,ant;beaver;jaguar;cheetah;bee;man,6
31,eel,30,slippery,eel;man,2
31,eel,31,slimy,eel;man,2
32,cougar,5,fast,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
32,cougar,7,cute,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
32,cougar,9,smart,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
32,cougar,11,long,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
32,cougar,12,agile,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
32,cougar,14,strong,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
32,cougar,19,sleek,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
32,cougar,20,lazy,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
32,cougar,25,happy,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
32,cougar,26,slithery,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
32,cougar,30,slippery,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
32,cougar,31,slimy,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
32,cougar,32,scaly,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
33,fish,31,slimy,fish;man,2
33,fish,32,scaly,fish;man,2
34,donkey,13,slow,turtle;sloth;donkey;man,4
34,donkey,14,strong,turtle;sloth;donkey;man,4
34,donkey,20,lazy,turtle;sloth;donkey;man,4
34,donkey,33,stubborn,turtle;sloth;donkey;man,4
35,cow,3,big,whale;cow;elephant;man,4
35,cow,4,majestic,whale;cow;elephant;man,4
35,cow,6,hard,whale;cow;elephant;man,4
35,cow,34,fat,whale;cow;elephant;man,4
36,hippo,3,big,hippo;whale;elephant;man,4
36,hippo,4,majestic,hippo;whale;elephant;man,4
36,hippo,6,hard,hippo;whale;elephant;man,4
36,hippo,34,fat,hippo;whale;elephant;man,4
37,mule,13,slow,turtle;sloth;mule;man,4
37,mule,14,strong,turtle;sloth;mule;man,4
37,mule,20,lazy,turtle;sloth;mule;man,4
37,mule,33,stubborn,turtle;sloth;mule;man,4
38,pig,34,fat,pig;man,2
38,pig,35,dirty,pig;man,2
39,zebra,5,fast,tiger;cheetah;jaguar;zebra;man,5
39,zebra,12,agile,tiger;cheetah;jaguar;zebra;man,5
39,zebra,15,fierce,tiger;cheetah;jaguar;zebra;man,5
39,zebra,19,sleek,tiger;cheetah;jaguar;zebra;man,5
39,zebra,29,striped,tiger;cheetah;jaguar;zebra;man,5
