category,slithery,tall,strong,long,fast,prob
snake,0,1,1,1,2,0.0000022446216243852473
snake,0,1,1,2,0,0.0000028308797287608618
snake,0,1,1,2,1,0.0000028308797287608618
snake,0,1,1,2,2,0.0000028308797287608618
snake,0,1,2,0,0,8.265393707122563e-7
snake,0,1,2,0,1,8.265393707122563e-7
snake,0,1,2,0,2,8.265393707122563e-7
snake,0,1,2,1,0,0.0000022446216243852473
snake,0,1,2,1,1,0.0000022446216243852473
snake,0,1,2,1,2,0.0000022446216243852473
snake,0,1,2,2,0,0.0000028308797287608618
snake,0,1,2,2,1,0.0000028308797287608618
snake,0,1,2,2,2,0.0000028308797287608618
snake,0,2,0,0,0,0.0000012584756489993859
snake,0,2,0,0,1,0.0000012584756489993859
snake,0,2,0,0,2,0.0000012584756489993859
snake,0,2,0,1,0,0.0000032524729403885483
snake,0,2,0,1,1,0.0000032524729403885483
snake,0,2,0,1,2,0.0000032524729403885483
snake,0,2,0,2,0,0.000003838731044764163
snake,0,2,0,2,1,0.000003838731044764163
snake,0,2,0,2,2,0.000003838731044764163
snake,0,2,1,0,0,0.0000012584756489993859
snake,0,2,1,0,1,0.0000012584756489993859
snake,0,2,1,0,2,0.0000012584756489993859
snake,0,2,1,1,0,0.0000032524729403885483
snake,0,2,1,1,1,0.0000032524729403885483
snake,0,2,1,1,2,0.0000032524729403885483
snake,0,2,1,2,0,0.000003838731044764163
snake,0,2,1,2,1,0.000003838731044764163
snake,0,2,1,2,2,0.000003838731044764163
snake,0,2,2,0,0,0.0000012584756489993859
snake,0,2,2,0,1,0.0000012584756489993859
snake,0,2,2,0,2,0.0000012584756489993859
snake,0,2,2,1,0,0.0000032524729403885483
snake,0,2,2,1,1,0.0000032524729403885483
snake,0,2,2,1,2,0.0000032524729403885483
snake,0,2,2,2,0,0.000003838731044764163
snake,0,2,2,2,1,0.000003838731044764163
snake,0,2,2,2,2,0.000003838731044764163
snake,1,0,0,0,0,0.000015727128026113105
snake,1,0,0,0,1,0.000015727128026113105
snake,1,0,0,0,2,0.000015727128026113105
snake,1,0,0,1,0,0.000043333257008120196
snake,1,0,0,1,1,0.000043333257008120196
snake,1,0,0,1,2,0.000043333257008120196
snake,1,0,0,2,0,0.00005564467720000812
snake,1,0,0,2,1,0.00005564467720000812
snake,1,0,0,2,2,0.00005564467720000812
snake,1,0,1,0,0,0.000015727128026113105
