workerid,utteranceType,animalType,alterantive,animal,categoryID,QUD,setNum,featureSet,response
3,lit,orig,bird,bird,3,gen,1,fast; small,1
3,lit,orig,bird,bird,3,gen,2,fast; big,1
3,fig,orig,giraffe,giraffe,8,f1,4,petite; short,0
3,fig,orig,giraffe,giraffe,8,f1,1,tall; long,1
3,fig,orig,giraffe,giraffe,8,f1,2,tall; short,0
3,fig,orig,giraffe,giraffe,8,f1,3,petite; long,0
3,fig,orig,cheetah,cheetah,9,f2,4,slow; clumsy,0
3,fig,orig,cheetah,cheetah,9,f2,3,slow; agile,0
3,fig,orig,cheetah,cheetah,9,f2,1,fast; agile,1
3,fig,orig,cheetah,cheetah,9,f2,2,fast; clumsy,0
3,lit,alt,jaguar,cheetah,9,gen,3,slow; agile,0
3,lit,alt,jaguar,cheetah,9,gen,2,fast; clumsy,0.4
3,lit,alt,jaguar,cheetah,9,gen,4,slow; clumsy,0.03
3,lit,alt,jaguar,cheetah,9,gen,1,fast; agile,1
3,lit,orig,monkey,monkey,6,f2,1,funny; smart,1
3,lit,orig,monkey,monkey,6,f2,2,funny; stupid,0
3,lit,orig,monkey,monkey,6,f2,4,serious; stupid,0
3,lit,orig,monkey,monkey,6,f2,3,serious; smart,1
4,fig,orig,monkey,monkey,6,f2,4,serious; stupid,0.15
4,fig,orig,monkey,monkey,6,f2,1,funny; smart,0.53
4,fig,orig,monkey,monkey,6,f2,2,funny; stupid,0.9
4,fig,orig,monkey,monkey,6,f2,3,serious; smart,0.05
4,fig,alt,jaguar,rabbit,12,gen,2,fast; ugly,0.66
4,fig,alt,jaguar,rabbit,12,gen,4,slow; ugly,0.02
4,fig,alt,jaguar,rabbit,12,gen,1,fast; cute,0.64
4,fig,alt,jaguar,rabbit,12,gen,3,slow; cute,0.02
4,lit,orig,elephant,elephant,4,gen,4,small; soft,0.01
4,lit,orig,elephant,elephant,4,gen,1,big; hard,0.62
4,lit,orig,elephant,elephant,4,gen,3,small; hard,0.02
4,lit,orig,elephant,elephant,4,gen,2,big; soft,0.58
4,fig,orig,bird,bird,3,f1,1,fast; small,0.82
4,fig,orig,bird,bird,3,f1,4,slow; big,0.02
4,fig,orig,bird,bird,3,f1,3,slow; small,0
4,fig,orig,bird,bird,3,f1,2,fast; big,0.52
4,fig,orig,ant,ant,1,f2,3,big; industrious,0.4
4,fig,orig,ant,ant,1,f2,1,small; industrious,0.96
4,fig,orig,ant,ant,1,f2,4,big; lazy,0
4,fig,orig,ant,ant,1,f2,2,small; lazy,0.01
4,lit,alt,monkey,penguin,7,gen,1,funny; cute,0.54
4,lit,alt,monkey,penguin,7,gen,3,serious; cute,0.02
4,lit,alt,monkey,penguin,7,gen,4,serious; ugly,0.01
4,lit,alt,monkey,penguin,7,gen,2,funny; ugly,0.56
