workerID,gender,age,income,language,order,item,dimension,bin,prior
4,M,35,6,English,6,cheetah,speed,60,0.101070154578
4,M,35,6,English,7,man,weight,0,0.0
4,M,35,6,English,7,man,weight,10,0.0
4,M,35,6,English,7,man,weight,100,0.0
4,M,35,6,English,7,man,weight,120,0.108695652174
4,M,35,6,English,7,man,weight,140,0.242753623188
4,M,35,6,English,7,man,weight,160,0.25
4,M,35,6,English,7,man,weight,180,0.235507246377
4,M,35,6,English,7,man,weight,200,0.115942028986
4,M,35,6,English,7,man,weight,220,0.0471014492754
4,M,35,6,English,7,man,weight,10000,0.0
4,M,35,6,English,8,turtle,speed,0,0.5
4,M,35,6,English,8,turtle,speed,1,0.5
4,M,35,6,English,8,turtle,speed,5,0.0
4,M,35,6,English,8,turtle,speed,10,0.0
4,M,35,6,English,8,turtle,speed,12,0.0
4,M,35,6,English,8,turtle,speed,14,0.0
4,M,35,6,English,8,turtle,speed,16,0.0
4,M,35,6,English,8,turtle,speed,18,0.0
4,M,35,6,English,8,turtle,speed,20,0.0
4,M,35,6,English,8,turtle,speed,60,0.0
4,M,35,6,English,9,woman,height,0,0.0
4,M,35,6,English,9,woman,height,0.5,0.0
4,M,35,6,English,9,woman,height,4,0.0
4,M,35,6,English,9,woman,height,4.5,0.137566137566
4,M,35,6,English,9,woman,height,5,0.433862433862
4,M,35,6,English,9,woman,height,5.5,0.312169312169
4,M,35,6,English,9,woman,height,6,0.10582010582
4,M,35,6,English,9,woman,height,6.5,0.010582010582
4,M,35,6,English,9,woman,height,7,0.0
4,M,35,6,English,9,woman,height,15,0.0
4,M,35,6,English,10,woman,weight,0,0.0
4,M,35,6,English,10,woman,weight,10,0.030612244898
4,M,35,6,English,10,woman,weight,100,0.173469387755
4,M,35,6,English,10,woman,weight,120,0.387755102041
4,M,35,6,English,10,woman,weight,140,0.224489795918
4,M,35,6,English,10,woman,weight,160,0.0867346938776
4,M,35,6,English,10,woman,weight,180,0.0510204081633
4,M,35,6,English,10,woman,weight,200,0.0255102040816
4,M,35,6,English,10,woman,weight,220,0.0204081632653
4,M,35,6,English,10,woman,weight,10000,0.0
4,M,35,6,English,11,woman,speed,0,0.307692307692
4,M,35,6,English,11,woman,speed,1,0.301003344482
4,M,35,6,English,11,woman,speed,5,0.294314381271
4,M,35,6,English,11,woman,speed,10,0.0735785953177
