animal,feature,featureType,question,bin,Freq
cheetah,lazy,expanded,agile,3,0.142857142857143
cheetah,lazy,expanded,agile,4,0.142857142857143
cheetah,lazy,expanded,fast,0,0.25
cheetah,lazy,expanded,fast,1,0.375
cheetah,lazy,expanded,fast,2,0.125
cheetah,lazy,expanded,fast,3,0.125
cheetah,lazy,expanded,fast,4,0.125
cheetah,lazy,expanded,general,0,0.461538461538462
cheetah,lazy,expanded,general,1,0.230769230769231
cheetah,lazy,expanded,general,2,0.153846153846154
cheetah,lazy,expanded,general,3,0.0769230769230769
cheetah,lazy,expanded,general,4,0.0769230769230769
cheetah,loyal,expanded,agile,0,0.285714285714286
cheetah,loyal,expanded,agile,1,0.142857142857143
cheetah,loyal,expanded,agile,2,0.285714285714286
cheetah,loyal,expanded,agile,3,0.142857142857143
cheetah,loyal,expanded,agile,4,0.142857142857143
cheetah,loyal,expanded,fast,0,0.125
cheetah,loyal,expanded,fast,1,0.25
cheetah,loyal,expanded,fast,2,0.375
cheetah,loyal,expanded,fast,3,0.125
cheetah,loyal,expanded,fast,4,0.125
cheetah,loyal,expanded,general,0,0.307692307692308
cheetah,loyal,expanded,general,1,0.230769230769231
cheetah,loyal,expanded,general,2,0.307692307692308
cheetah,loyal,expanded,general,3,0.0769230769230769
cheetah,loyal,expanded,general,4,0.0769230769230769
cheetah,playful,expanded,agile,0,0.285714285714286
cheetah,playful,expanded,agile,1,0.285714285714286
cheetah,playful,expanded,agile,2,0.142857142857143
cheetah,playful,expanded,agile,3,0.142857142857143
cheetah,playful,expanded,agile,4,0.142857142857143
cheetah,playful,expanded,fast,0,0.25
cheetah,playful,expanded,fast,1,0.125
cheetah,playful,expanded,fast,2,0.375
cheetah,playful,expanded,fast,3,0.125
cheetah,playful,expanded,fast,4,0.125
cheetah,playful,expanded,general,0,0.230769230769231
cheetah,playful,expanded,general,1,0.230769230769231
cheetah,playful,expanded,general,2,0.384615384615385
cheetah,playful,expanded,general,3,0.0769230769230769
cheetah,playful,expanded,general,4,0.0769230769230769
cheetah,quiet,expanded,agile,0,0.142857142857143
cheetah,quiet,expanded,agile,1,0.142857142857143
cheetah,quiet,expanded,agile,2,0.285714285714286
cheetah,quiet,expanded,agile,3,0.285714285714286
cheetah,quiet,expanded,agile,4,0.142857142857143
cheetah,quiet,expanded,fast,0,0.25
cheetah,quiet,expanded,fast,1,0.25
cheetah,quiet,expanded,fast,2,0.25
cheetah,quiet,expanded,fast,3,0.125
cheetah,quiet,expanded,fast,4,0.125
cheetah,quiet,expanded,general,0,0.230769230769231
cheetah,quiet,expanded,general,1,0.153846153846154
cheetah,quiet,expanded,general,2,0.461538461538462
cheetah,quiet,expanded,general,3,0.0769230769230769
cheetah,quiet,expanded,general,4,0.0769230769230769
cheetah,sleek,expanded,agile,0,0.285714285714286
cheetah,sleek,expanded,agile,1,0.142857142857143
cheetah,sleek,expanded,agile,2,0.142857142857143
cheetah,sleek,expanded,agile,3,0.285714285714286
cheetah,sleek,expanded,agile,4,0.142857142857143
cheetah,sleek,expanded,fast,0,0.125
cheetah,sleek,expanded,fast,1,0.125
cheetah,sleek,expanded,fast,2,0.125
cheetah,sleek,expanded,fast,3,0.375
cheetah,sleek,expanded,fast,4,0.25
cheetah,sleek,expanded,general,0,0.153846153846154
cheetah,sleek,expanded,general,1,0.0769230769230769
cheetah,sleek,expanded,general,2,0.307692307692308
cheetah,sleek,expanded,general,3,0.0769230769230769
cheetah,sleek,expanded,general,4,0.384615384615385
cheetah,small,expanded,agile,0,0.285714285714286
cheetah,small,expanded,agile,1,0.285714285714286
cheetah,small,expanded,agile,2,0.142857142857143
cheetah,small,expanded,agile,3,0.142857142857143
cheetah,small,expanded,agile,4,0.142857142857143
cheetah,small,expanded,fast,0,0.25
cheetah,small,expanded,fast,1,0.375
cheetah,small,expanded,fast,2,0.125
cheetah,small,expanded,fast,3,0.125
cheetah,small,expanded,fast,4,0.125
cheetah,small,expanded,general,0,0.230769230769231
cheetah,small,expanded,general,1,0.0769230769230769
cheetah,small,expanded,general,2,0.538461538461538
cheetah,small,expanded,general,3,0.0769230769230769
cheetah,small,expanded,general,4,0.0769230769230769
cheetah,smart,expanded,agile,0,0.285714285714286
cheetah,smart,expanded,agile,1,0.142857142857143
cheetah,smart,expanded,agile,2,0.142857142857143
cheetah,smart,expanded,agile,3,0.142857142857143
cheetah,smart,expanded,agile,4,0.285714285714286
cheetah,smart,expanded,fast,0,0.125
cheetah,smart,expanded,fast,1,0.375
cheetah,smart,expanded,fast,2,0.125
cheetah,smart,expanded,fast,3,0.25
cheetah,smart,expanded,fast,4,0.125
cheetah,smart,expanded,general,0,0.153846153846154
cheetah,smart,expanded,general,1,0.0769230769230769
cheetah,smart,expanded,general,2,0.384615384615385
cheetah,smart,expanded,general,3,0.230769230769231
cheetah,smart,expanded,general,4,0.153846153846154
elephant,big,core,big,0,0.125
elephant,big,core,big,1,0.125
elephant,big,core,big,2,0.125
elephant,big,core,big,3,0.375
elephant,big,core,big,4,0.25
elephant,big,core,general,0,0.153846153846154
elephant,big,core,general,1,0.0769230769230769
elephant,big,core,general,2,0.0769230769230769
elephant,big,core,general,3,0.230769230769231
elephant,big,core,general,4,0.461538461538462
elephant,big,core,hard,0,0.166666666666667
elephant,big,core,hard,1,0.166666666666667
elephant,big,core,hard,2,0.166666666666667
elephant,big,core,hard,3,0.333333333333333
elephant,big,core,hard,4,0.166666666666667
elephant,cute,expanded,big,0,0.375
elephant,cute,expanded,big,1,0.25
elephant,cute,expanded,big,2,0.125
elephant,cute,expanded,big,3,0.125
elephant,cute,expanded,big,4,0.125
elephant,cute,expanded,general,0,0.153846153846154
elephant,cute,expanded,general,1,0.153846153846154
elephant,cute,expanded,general,2,0.384615384615385
elephant,cute,expanded,general,3,0.153846153846154
elephant,cute,expanded,general,4,0.153846153846154
elephant,cute,expanded,hard,0,0.166666666666667
