categoryID,animal,f1,f2,f3,N,featureProb,sd,se,ci,feature,featureNum,category
30,whale,large,graceful,majestic,40,0.74375,0.174931305,0.027659068,0.055945746,graceful,2,animal
30,whale,large,graceful,majestic,40,0.78875,0.177495937,0.028064572,0.056765955,majestic,3,animal
30,whale,large,graceful,majestic,40,0.51375,0.114906595,0.018168328,0.036748912,large,1,person
30,whale,large,graceful,majestic,40,0.473125,0.145596419,0.023020815,0.046563994,graceful,2,person
30,whale,large,graceful,majestic,40,0.349375,0.179786866,0.0284268,0.057498629,majestic,3,person
31,wolf,scary,mean,angry,40,0.695625,0.195205965,0.030864773,0.062429896,scary,1,animal
31,wolf,scary,mean,angry,40,0.56,0.230995615,0.036523614,0.073875982,mean,2,animal
31,wolf,scary,mean,angry,40,0.489375,0.251080198,0.039699265,0.080299343,angry,3,animal
31,wolf,scary,mean,angry,40,0.42375,0.156376231,0.024725253,0.050011545,scary,1,person
31,wolf,scary,mean,angry,40,0.48375,0.14384264,0.022743518,0.046003108,mean,2,person
31,wolf,scary,mean,angry,40,0.51375,0.134205879,0.021219813,0.042921122,angry,3,person
32,zebra,striped,exotic,fast,40,0.92125,0.074582169,0.011792476,0.023852535,striped,1,animal
32,zebra,striped,exotic,fast,40,0.814375,0.130689432,0.020663814,0.041796508,exotic,2,animal
32,zebra,striped,exotic,fast,40,0.79,0.142976598,0.022606585,0.045726135,fast,3,animal
32,zebra,striped,exotic,fast,40,0.10125,0.117662871,0.018604133,0.037630412,striped,1,person
32,zebra,striped,exotic,fast,40,0.38875,0.215277847,0.034038416,0.068849196,exotic,2,person
32,zebra,striped,exotic,fast,40,0.51,0.130064087,0.020564938,0.041596513,fast,3,person
